,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0006.3-1813,-0.9716287,0.323088,0.94636893,-11.989327,-12.5417385,0.6093166,2.0634017,0.0447623133659362,0.3089129030704498,1.1571767,unas,0.2777203352383783,0.3600284920209217,0.5549515874732337,0.530875607835282,0.16287734255844907,0.1053067122442051,0.002362497359090987,0.0017868827553530811,0.0005370422488731161,0.0012733298495628542,0.001551195121974981,0.0007289752946752466
4FGL J0006.3-0620,-0.9179291,-0.063609466,0.9979749,-11.845959,-12.497899,0.72044086,1.9229547,0.1246007829904556,1.0373724699020386,1.3688327,bll,0.39575813261472115,0.35788245234811294,0.47424370125563836,0.5311460437789889,0.12034686557776517,0.10853475532061554,0.005790074126876345,0.001113344207934743,0.003086388219863743,0.0008347494205097345,0.0007748382051353863,0.0004886549238380142
4FGL J0006.4+0135,-0.8598299,-0.18184844,0.98332655,-11.983517,-12.577105,0.8141607,1.1334021,0.3439277112483978,2.0740771293640137,0.68851304,bll,0.4804477286065479,0.4221573527206354,0.4711487480302971,0.5271938364589444,0.03445269031998132,0.03930935159940551,0.007822546310441963,0.003435571690957212,0.0026852372949303068,0.0064890450879797066,0.003443049437801378,0.0014148424420779104
4FGL J0006.4-5621,-0.8631506,0.7106596,-0.70353603,-11.888372,-12.542782,0.66316324,2.4248319,0.1763264238834381,1.169952154159546,1.0467057,bll,0.08659799549202826,0.06817308588082338,0.6762228563325484,0.704664589234413,0.21278488090923406,0.205692109156918,0.009469967052581825,0.013266677572417793,0.0021033293652887677,0.005601434126179684,0.012820970848318645,0.0026021040292483755
4FGL J0006.6+4618,-0.2734509,-0.42135793,0.9068944,-12.122066,-12.69107,0.7806916,-0.72628057,0.696883499622345,2.7792601585388184,1.0318725,unas,0.2037049752969862,0.13929166681491198,0.7027890679447757,0.8125261952993442,0.07302746949706551,0.012917655632049566,0.01623128184189341,0.018989886402535853,0.003452803372432995,0.004175861058099524,0.0007944020468461815,0.0120987347930586
4FGL J0007.0+7303,0.18157788,-0.4948921,0.8689544,-9.36492,-11.487939,2.569364,1.6364633,0.2782940566539764,76.61576843261719,0.57669103,psr,0.02153846153846154,0.0009375136089257251,0.009230769230769232,0.00163008950700172,0.01692307692307692,0.0007734228946277209,0.060000000000000005,0.013539385245868186,0.1907692307692308,0.122483467813841,0.7015384615384614,0.8606361209297355
4FGL J0007.4-0322,-0.89898604,-0.12466259,0.9921992,-12.193755,-12.735433,0.7508671,-2.2289734,0.992812991142273,2.871277093887329,1.0486444,unas,0.3809950630492895,0.31765172218369964,0.5267716905143168,0.6422581854677593,0.037565176417565536,0.02304749151352745,0.013087279254465227,0.007124676773469677,0.039308291438315664,0.004224946772150149,0.002272499326047149,0.00569297728939397
4FGL J0007.7+4008,-0.374166,-0.40573204,0.9139921,-11.464487,-12.271063,1.1774929,1.7860489,0.1454445719718933,2.4661614894866943,1.5522116,bcu,0.7604951080935152,0.6541990535981557,0.20360266502988933,0.2923022228882464,0.023215357045714938,0.049697654028267646,0.0016919191919191918,0.001181444403445,0.010582608351619118,0.0013641368327861456,0.00041234228734228734,0.0012554882490991993
4FGL J0008.0+4711,-0.25938475,-0.42761433,0.9039613,-10.726528,-12.036628,1.7260984,1.8823855,0.0758369266986846,4.3269548416137695,0.7613631,bll,0.6830805370687042,0.5218785163502135,0.058085638015662466,0.021593085337870875,0.07576583465434979,0.014010150371057203,0.014464285714285716,0.020612225989670434,0.02858189429618001,0.06675605832254723,0.1400218102508179,0.3551499636286407
4FGL J0008.0-3937,-0.9640181,0.91351837,-0.40679747,-11.680104,-12.392283,0.73536736,2.715892,0.219093456864357,1.914081573486328,1.22025,bcu,0.042263578188518884,0.030693623329572352,0.6767691242333058,0.5572478703018743,0.2715920633367893,0.38870718524754966,0.003582515630438851,0.014072372025156894,0.000668330306505862,0.006059550543162452,0.00512438830444153,0.0032193985526842517
4FGL J0008.4+6926,0.11988956,-0.48706898,0.8733635,-11.351322,-12.00456,0.83500296,2.2411752,0.057287722826004,0.9357820749282836,1.0440569,unas,0.09741466358351898,0.09714083912633037,0.6510141100436496,0.7777463715470712,0.03990988565359814,0.04276845572693215,0.15727813439522872,0.05033416157502506,0.012949299793625177,0.003764461905698057,0.04143390653037906,0.028245710118943147
