,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0003.3-5905,-0.8383461,0.6976536,-0.71643525,-11.839406,-12.568083,0.8394665,2.2856634,-0.0060784863308072,0.0877118706703186,1.0063869,bcu,0.6054127854938537,0.5721459853704713,0.0028490104629242557,0.002505094753845413,0.0,0.0006368239792155882,0.0019312959014451553,0.01100432903955899,0.10417481357121453,0.08611326979424672,0.28563209457056227,0.3275944970626618
4FGL J0003.5+0717,-0.8056576,-0.21803728,0.97594047,-12.092559,-12.60303,0.6892598,1.2529342,0.4647964835166931,2.2953402996063232,1.0394844,bcu,0.6533086491295423,0.6369928725389861,0.011409733416976474,0.02555879625713779,0.0,0.0013907265100314094,0.002859372403463628,0.009377836122590511,0.026368908076870007,0.06428091187577263,0.30605333697314757,0.2623988566954814
4FGL J0003.6+3059,-0.51162297,-0.35844105,0.9335524,-11.680469,-12.539204,1.1196585,1.3266795,0.6645426154136658,5.067807197570801,0.7069715,unas,0.2660274194750443,0.15032488549842513,0.6106163736047017,0.6911315391927518,0.012049382716049384,0.034861883907385156,0.00933903133903134,0.03720105057883257,0.04337973984629024,0.028000434720063375,0.05858805301888319,0.058480206102541885
4FGL J0003.9-1149,-0.94594455,0.09418794,0.99555445,-11.626077,-12.426563,1.0989056,1.8849317,0.2019716501235962,2.867600679397583,0.8667596,bll,0.23579622265170944,0.21503586372664338,0.0662188152390882,0.024180911287196072,0.0,0.0006205936758463731,0.007272727272727273,0.0016365084263542697,0.07177626547419759,0.12227835088577427,0.6189359693622775,0.6362477719981855
4FGL J0004.0+5715,-0.08755331,-0.44660884,0.8947293,-11.439145,-12.088621,0.9396978,2.2691855,0.1528328210115432,2.222075700759888,1.1007618,unas,0.6441033341455302,0.7134273237791853,0.03756267444593154,0.018567063274026022,0.005979129779546584,0.005125633414774742,0.050166658775934056,0.05372618167440908,0.12310699985101602,0.08027622967893719,0.13908120300204177,0.1288775681786679
4FGL J0004.0+0840,-0.7922667,-0.23337711,0.9723863,-11.938751,-12.573407,0.86310637,0.6622148,0.4375789761543274,2.824425458908081,1.184856,bll,0.5619547334146558,0.581629569727376,0.00719142462982444,0.006855701887273269,0.00023076923076923076,0.0005344780928397744,0.005979955850896784,0.004356050772248888,0.03537093319386574,0.03912487837840398,0.38927218367998795,0.36749932114185796
4FGL J0004.3+4614,-0.27320227,-0.41451803,0.9100411,-11.287408,-12.18457,1.0569503,2.596615,0.1397493481636047,2.7210958003997803,2.1431296,fsrq,0.4482175614350041,0.4113371227244517,0.003160435729847495,0.0004123204806905148,7.017543859649122e-05,0.0001950390036789938,0.0027474747474747476,0.0010135903432041,0.5130701349455014,0.5703229933867424,0.03273421770357584,0.016718934061232378
4FGL J0004.4-4737,-0.924132,0.8088731,-0.5879832,-11.271175,-12.431243,1.2934799,2.4168262,0.0708326771855354,1.824046611785889,2.185504,fsrq,0.22300850045538692,0.288976507326603,2.8571428571428574e-05,0.000421138535689009,0.0,0.0002717188366528755,0.0,0.002274765608744968,0.7306141559126683,0.6456416481754337,0.04634877220337349,0.062414221516876374
4FGL J0004.4-4001,-0.9605141,0.92044675,-0.390868,-11.579415,-12.472885,1.0252641,2.060696,0.0927416607737541,1.2740238904953003,1.5530096,unas,0.34245836542181984,0.4715511893853012,0.0006377483521939239,0.0014028450438931756,0.0,0.00022898918838793657,3.87003919111245e-05,0.0029536061229916482,0.11826351468897688,0.1383561331880035,0.5386016711450983,0.3855072370714226
4FGL J0005.6+6746c,0.09205997,-0.47882107,0.8779125,-11.353838,-11.800553,0.6881292,2.6912382,0.4141820073127746,3.218540906906128,1.1601167,unas,0.6298638788367021,0.7252880526537607,0.054083711734752286,0.02314493370238942,0.023454285227028655,0.02436114811778043,0.18657163113620345,0.14077462473335628,0.08729857038012853,0.07316949529704585,0.018727922685184813,0.013261745495667103
