,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN
4FGL J0004.0+5715,-0.08755331,-0.44660884,0.8947293,-11.439145,-12.088621,0.9396978,2.2691855,0.1528328210115432,2.222075700759888,1.1007618,unas,0.4238774875503898,0.4068565947801582,0.0724584273605566,0.021278756986691325,0.022199564472772913,0.025421157197073396,0.3376529045767519,0.4315222183600218,0.1438116160395287,0.11492127267605524
4FGL J0004.0+0840,-0.7922667,-0.23337711,0.9723863,-11.938751,-12.573407,0.86310637,0.6622148,0.4375789761543274,2.824425458908081,1.184856,bll,0.9242594834286637,0.8840001738290967,0.003157894736842105,0.010518782694219356,0.0017664868693742705,0.012655466798290839,0.05321749826199295,0.08199832556443414,0.017598636703127047,0.010827251113959097
4FGL J0004.3+4614,-0.27320227,-0.41451803,0.9100411,-11.287408,-12.18457,1.0569503,2.596615,0.1397493481636047,2.7210958003997803,2.1431296,fsrq,0.04790404040404041,0.01826491981046508,0.0,0.00037010385510012606,0.0,0.00028489991178343133,0.950959595959596,0.9784524697484817,0.0011363636363636363,0.002627606674169622
4FGL J0004.4-4737,-0.924132,0.8088731,-0.5879832,-11.271175,-12.431243,1.2934799,2.4168262,0.0708326771855354,1.824046611785889,2.185504,fsrq,0.06000000000000001,0.06761215567460552,0.0,0.0003610058886112117,0.0,0.0006287922405381564,0.9399999999999998,0.9290041049065833,0.0,0.0023939412896619365
4FGL J0004.4-4001,-0.9605141,0.92044675,-0.390868,-11.579415,-12.472885,1.0252641,2.060696,0.0927416607737541,1.2740238904953003,1.5530096,unas,0.6837216246371819,0.8011018451028179,0.0002445168472175209,0.0013433133941263178,3.5869579657027766e-05,0.0038815624683053982,0.3151350791701264,0.1895965710992789,0.0008629097658169215,0.004076707935471471
4FGL J0005.6+6746c,0.09205997,-0.47882107,0.8779125,-11.353838,-11.800553,0.6881292,2.6912382,0.4141820073127746,3.218540906906128,1.1601167,unas,0.03164783754257441,0.04127935275184503,0.19134502923976604,0.0752275752277583,0.018947368421052636,0.011656016782204738,0.4946506169269327,0.6315104461186977,0.2634091478696742,0.24032660911949422
4FGL J0005.9+3824,-0.40056235,-0.3944596,0.9189133,-11.188751,-12.267908,1.2202905,2.7843473,0.1857199966907501,3.510133981704712,1.6150181,fsrq,0.06022398777692896,0.039383094720864195,0.006666666666666667,0.004305697458523654,0.0,0.0024828448184032303,0.9169188693659281,0.9249663654096414,0.01619047619047619,0.028861997592567374
4FGL J0006.3-1813,-0.9716287,0.323088,0.94636893,-11.989327,-12.5417385,0.6093166,2.0634017,0.0447623133659362,0.3089129030704498,1.1571767,unas,0.6705965663126561,0.7826731109010127,0.0,0.002328125319433428,0.011997096182178129,0.005600882869176091,0.3173528217978907,0.2006724521449202,5.351570727534859e-05,0.008725428765457923
4FGL J0006.3-0620,-0.9179291,-0.063609466,0.9979749,-11.845959,-12.497899,0.72044086,1.9229547,0.1246007829904556,1.0373724699020386,1.3688327,bll,0.8750567720454346,0.7658572552951596,0.001223095149021075,0.0025343754422608228,0.0013516105167919712,0.00322293039102676,0.12062541064982699,0.2205599200235007,0.0017431116389253149,0.007825518848052033
4FGL J0006.4+0135,-0.8598299,-0.18184844,0.98332655,-11.983517,-12.577105,0.8141607,1.1334021,0.3439277112483978,2.0740771293640137,0.68851304,bll,0.9545857710012612,0.7964828841829423,0.003157894736842105,0.028853571268299058,0.008883551043848765,0.03407716093876462,0.024794716027445995,0.10864266498860775,0.008578067190602168,0.03194371862138631
